epoch,loss,val_loss
0,0.05042713364510123,0.027831696503830754
1,0.034576432143294276,0.024545097714510838
2,0.031488147333550445,0.022084066537799863
3,0.028783611101059252,0.020564312663454057
4,0.026769585908509447,0.017979903110254925
5,0.024406772055316193,0.016593543693132314
6,0.022551045992034627,0.015228718550384792
7,0.02113057115819984,0.013102364045732773
8,0.02153376987484024,0.027465284663035612
9,0.024461679718631245,0.019820821736491124
10,0.02403388241998905,0.015164098501039183
11,0.02060472174090256,0.01250548377461638
12,0.020976120395806267,0.031935219433434005
13,0.029367911313852822,0.015090428148571667
14,0.020266555043301594,0.012526600134547285
15,0.01938022834134785,0.014280107911452756
0,0.017717074143468348,0.012117894905433578
1,0.018633528500847322,0.01126574038695466
2,0.02175750938141384,0.021395998191207938
3,0.019876005176058253,0.010867359102385397
4,0.021096592641567196,0.019026092657588183
5,0.02096605344320269,0.01612897198179651
6,0.016586310501558364,0.012410430920880542
7,0.01732696153116506,0.010780072324185774
8,0.015925233029817378,0.010753290672530648
9,0.018288574203108844,0.010384194030734286
10,0.01610210807722894,0.011492460892072034
11,0.01908510860172643,0.010178171660662778
12,0.015749323641817616,0.010972507983820209
13,0.015939118050538704,0.02057705705302197
14,0.018167432202103352,0.010545979548801604
15,0.015252725693662728,0.011135660858780686
16,0.01545169252795924,0.010978051065110097
17,0.017154215008620445,0.021568975712054485
18,0.020430789876342007,0.01233493657639793
19,0.017400770069749227,0.012255491519988497
20,0.016064065435114253,0.011468566144911398
21,0.015495282057960712,0.0108503518084446
0,0.01699325569361924,0.013132203692463817
1,0.015357199171393585,0.011767897388613374
